X,Y,TYP_CD,STN_NAM,TYP_CD_DES,STN_NAM_DE
30445.5921504665,31952.4643182241,0,,MRT,JALAN BESAR MRT STATION
33541.1331369041,34351.7322682999,0,,MRT,MATTAR MRT STATION
34348.7479860685,34286.4474176188,0,,MRT,MACPHERSON MRT STATION
30862.168277766,29369.8689684219,0,,MRT,BAYFRONT MRT STATION
29357.4429829628,31353.131817886,0,,MRT,DHOBY GHAUT MRT STATION
25116.6260046845,33303.2991679596,0,,MRT,FARRER ROAD MRT STATION
17873.7300695428,35034.8076183004,0,,MRT,JURONG EAST MRT STATION
37401.5894173968,35219.0396695089,0,,MRT,BEDOK NORTH MRT STATION
38993.3521690981,35419.3162683188,0,,MRT,BEDOK RESERVOIR MRT STATION
27881.0116850948,31822.5908179565,0,,MRT,ORCHARD MRT STATION
27711.1811119005,35099.2235682999,0,,MRT,BUKIT BROWN MRT STATION
28378.5229613489,40735.930469346,0,,MRT,LENTOR MRT STATION
27939.6015348538,38359.1651675634,0,,MRT,BRIGHT HILL MRT STATION
26306.0353329819,42218.7685681696,0,,MRT,SPRINGLEAF MRT STATION
31288.1650105319,28209.9861184784,0,,MRT,MARINA SOUTH PIER MRT STATION
34163.1918073649,34228.7858678546,0,,MRT,MACPHERSON MRT STATION
27595.5550795211,47194.8768300892,0,,MRT,CANBERRA MRT STATION
23672.6102959386,45381.0781182384,0,,MRT,WOODLANDS SOUTH MRT STATION
22693.4947841539,47784.5369187677,0,,MRT,WOODLANDS NORTH MRT STATION
8791.93168346447,33551.2425191465,0,,MRT,GUL CIRCLE MRT STATION
6705.85364124209,35833.677517576,0,,MRT,TUAS DEPOT
34690.9923136262,36147.7138750086,0,,MRT,TUNNEL STRUCTURE CONNECTING DEPOT TO FACILITY BUILDING
22944.4880928657,46396.6699683722,0,,MRT,WOODLANDS MRT STATION
23867.6410058591,44642.5321191361,0,,MRT,MANDAI DEPOT
30336.2353610599,28798.5583189589,0,,MRT,MARINA BAY MRT STATION
28737.3459157647,29291.6641183972,0,,MRT,OUTRAM PARK MRT STATION
28021.0179486594,30100.3094677221,0,,MRT,HAVELOCK MRT STATION
27138.8282249056,33508.5430178683,0,,MRT,STEVENS MRT STATION
26404.4177587469,32122.0042177961,0,,MRT,NAPIER MRT STATION
28193.9869965311,34530.4526682999,0,,MRT,MOUNT PLEASANT MRT STATION
29918.5652648196,28895.3408696829,0,,MRT,SHENTON WAY MRT STATION
31338.3965860034,28519.0628681593,0,,MRT,MARINA SOUTH MRT STATION
31853.5304462311,29066.5984677279,0,,MRT,GARDENS BY THE BAY MRT STATION
28030.7263359737,30761.2110683005,0,,MRT,GREAT WORLD MRT STATION
29189.1380718444,29225.2950187853,0,,MRT,MAXWELL MRT STATION
30394.626774759,28623.0136674598,0,,MRT,MARINA BAY MRT STATION
26914.8520696833,31705.0860186061,0,,MRT,ORCHARD BOULEVARD MRT STATION
27774.5464114782,31709.5771670952,0,,MRT,ORCHARD MRT STATION
25376.9188508121,28117.2010683008,0,,MRT,TELOK BLANGAH MRT STATION
19138.8109017068,39852.3964683015,0,,LRT,TECK WHYE LRT STATION
36158.1066625488,43854.0598183004,0,,LRT,TECK LEE LRT STATION
29321.5766245497,28763.815468238,0,,MRT,TANJONG PAGAR MRT STATION
40606.7492044787,34388.775417361,0,,MRT,TANAH MERAH MRT STATION
25109.9977586548,34236.4020183003,0,,MRT,TAN KAH KEE MRT STATION
27895.2150623501,37417.3942174285,0,,MRT,UPPER THOMSON MRT STATION
28761.6147609988,35485.4927184348,0,,MRT,CALDECOTT MRT STATION
28392.1567051889,39343.6867679949,0,,MRT,MAYFLOWER MRT STATION
