X,Y,TYP_CD,STN_NAM,TYP_CD_DES,STN_NAM_DE,Latitude,Longitude
21249.4826995728,40213.2871183029,0,,LRT,BANGKIT LRT STATION,1.38002223010088,103.772647370452
23328.731213228,28746.904967513,0,,MRT,PASIR PANJANG MRT STATION,1.27621352233766,103.791350313288
23852.2320731897,32658.9406684106,0,,MRT,HOLLAND VILLAGE MRT STATION,1.31226422601049,103.796470444998
24627.7276466669,28319.1426183004,0,,MRT,LABRADOR PARK MRT STATION,1.27236838626952,103.803416232089
25944.4372007684,33798.989568089,0,,MRT,BOTANIC GARDENS MRT STATION,1.32238699517166,103.815385463093
22892.787205453,31340.9711183011,0,,MRT,ONE-NORTH MRT STATION,1.29968953488969,103.787412789536
22555.3231554957,30657.4498190119,0,,MRT,KENT RIDGE MRT STATION,1.29353349887123,103.784572738173
22269.9194826513,29434.1966173393,0,,MRT,HAW PAR VILLA MRT STATION,1.28195688684898,103.781988990137
30421.0211236246,28690.6040681373,0,,MRT,MARINA BAY MRT STATION,1.27642735476716,103.854597776754
22507.0642161843,35313.1056181339,0,,MRT,KING ALBERT PARK MRT STATION,1.335893496278,103.783235863233
29691.7248467095,32160.0604190043,0,,MRT,LITTLE INDIA MRT STATION,1.30724381608438,103.849841614124
30128.9728970395,31806.7623179602,0,,MRT,ROCHOR MRT STATION,1.30385218555028,103.852769429428
20106.1096987283,40512.8261186815,0,,LRT,SENJA LRT STATION,1.38272547134453,103.76234425472
33499.9529869587,32063.7954176602,0,,MRT,MOUNTBATTEN MRT STATION,1.30615406128913,103.883045148696
19899.2870234944,34677.957018469,0,,MRT,ULU PANDAN DEPOT,1.3334073561776,103.760080078303
18097.7283751941,40778.1875183038,0,,MRT,CHOA CHU KANG MRT STATION,1.38536316540225,103.744370779756
31126.969401678,33489.9993175969,0,,MRT,BOON KENG MRT STATION,1.31993957653291,103.862052698446
33175.6902492463,36105.5944683002,0,,MRT,BARTLEY MRT STATION,1.3424454382925,103.880197087117
20912.3632438491,41077.9042682998,0,,LRT,SEGAR LRT STATION,1.38778508663361,103.769599685249
19329.3978870531,42100.1711033569,0,,MRT,GALI BATU DEPOT,1.39752646765467,103.75552362984
20662.6060715725,38266.2889190523,0,,MRT,HILLVIEW MRT STATION,1.36288845715168,103.767780907707
21596.1131852339,35920.5603680936,0,,MRT,BEAUTY WORLD MRT STATION,1.34090149001429,103.775746717778
20861.8774227886,37391.4121676331,0,,MRT,HUME MRT STATION,1.35519,103.76903
20015.1018783492,40117.5857188323,0,,MRT,BUKIT PANJANG MRT STATION,1.37956121236613,103.761188866252
20356.7604987319,39043.6140688384,0,,MRT,CASHEW MRT STATION,1.36984601365741,103.764315051619
10746.7419800218,34438.8491872215,0,,MRT,JOO KOON MRT STATION,1.32769436492908,103.678085068438
18434.6167707397,42157.591818219,0,,MRT,YEW TEE MRT STATION,1.39729771118639,103.74735767326
28183.1708649672,45704.0039182941,0,,MRT,YISHUN MRT STATION,1.42952522867762,103.834995141847
29277.6577297291,40416.798818146,0,,MRT,YIO CHU KANG MRT STATION,1.38149882492597,103.845170704861
32173.0245805814,35702.9511683006,0,,MRT,WOODLEIGH MRT STATION,1.33982824592182,103.87096088798
22751.8434177193,46505.0699683016,0,,MRT,WOODLANDS MRT STATION,1.43681962961519,103.786066799253
42244.9498582375,36001.065218104,0,,MRT,UPPER CHANGI MRT STATION,1.34173977444995,103.961472788634
29674.1274909388,29415.1003194087,0,,MRT,TELOK AYER MRT STATION,1.28206894769394,103.848648781083
33855.7816297353,41251.6093683011,0,,LRT,TONGKANG LRT STATION,1.38934794658941,103.885844150116
