X,Y,TYP_CD,STN_NAM,TYP_CD_DES,STN_NAM_DE,Latitude,Longitude
35652.9653355361,44179.6572183006,0,,LRT,SAMUDERA LRT STATION,1.4158186016397674,103.9020871733711
35141.7568648502,40652.6113183004,0,,LRT,RANGGUNG LRT STATION,1.3839214188777014,103.8974926526038
26539.3577045134,47860.021518301,0,,MRT,SEMBAWANG MRT STATION,1.449103471594514,103.8201932358293
35686.54506382,43001.0400692234,0,,LRT,PUNGGOL LRT STATION,1.405159611515032,103.90238860228372
35672.0421817391,40664.7460682999,0,,LRT,KANGKAR LRT STATION,1.384031026614794,103.90225766720863
34651.0431314765,33378.1230176432,0,,MRT,PAYA LEBAR MRT STATION,1.3181336862975057,103.8930816139685
12875.5416420314,35529.5983497629,0,,MRT,PIONEER MRT STATION,1.3375878013617684,103.6974166020482
30505.8040996609,31449.4287183538,0,,MRT,BUGIS MRT STATION,1.300691875540794,103.85583436255611
28509.9307752684,32731.8945678833,0,,MRT,NEWTON MRT STATION,1.3122901414369166,103.83790055896091
33690.2350302527,41259.3613683003,0,,LRT,SENGKANG LRT DEPOT,1.3894089655977302,103.88444975538735
23186.1706389804,32175.5497677857,0,,MRT,BUONA VISTA MRT STATION,1.3072583843160388,103.79006403577084
28743.448245069,29168.1953183892,0,,MRT,OUTRAM PARK MRT STATION,1.2800612942563319,103.83999874445902
30382.1607220536,28772.7568689587,0,,MRT,MARINA BAY MRT STATION,1.2764850066862456,103.85472316901365
29407.9349136298,31235.5127181366,0,,MRT,DHOBY GHAUT MRT STATION,1.2987573636776624,103.84596950190723
29128.2511916249,29644.9150178583,0,,MRT,CHINATOWN MRT STATION,1.2843725685741623,103.84345636213017
42378.6005561035,35266.4190180117,0,,MRT,EXPO MRT STATION,1.3352080727770643,103.9625184811143
30014.3760143566,29591.9033178472,0,,MRT,RAFFLES PLACE MRT STATION,1.283893105164365,103.85141854026142
34096.1321503113,35956.7210181136,0,,MRT,KIM CHUAN DEPOT,1.3414537180659434,103.88809596964336
7491.63898834942,33703.1240186242,0,,MRT,TUAS CRESCENT MRT STATION,1.321066724278135,103.6490405037631
6124.01452775614,35834.7888679687,0,,MRT,TUAS LINK MRT STATION,1.34034368412433,103.63675022187684
6439.43882578757,34694.0483184365,0,,MRT,TUAS WEST ROAD MRT STATION,1.330027517695534,103.63958528796609
29813.0514413419,32138.5210682982,0,,MRT,LITTLE INDIA MRT STATION,1.3069238318942051,103.84960970677811
26108.9308613102,33843.4002172413,0,,MRT,BOTANIC GARDENS MRT STATION,1.3223421514877356,103.81632632125292
31068.6868194595,30578.088067812,0,,MRT,PROMENADE MRT STATION,1.292811727620337,103.86089203283274
30161.2577990277,30581.0078184368,0,,MRT,CITY HALL MRT STATION,1.2928382086999308,103.85273839850952
28630.5817989709,29328.9520694129,0,,MRT,OUTRAM PARK MRT STATION,1.2815151243948515,103.83898459972035
29653.5311892067,36989.9902675957,0,,MRT,BISHAN MRT STATION,1.3507988090031953,103.84817660354763
33838.4680466064,41066.5735691482,0,,MRT,SENGKANG MRT DEPOT,1.387665433225196,103.88578170525358
42271.2706035197,35194.3652188162,0,,MRT,EXPO MRT STATION,1.3345564962101284,103.9615540283337
32777.0254223559,41545.9042682991,0,,LRT,FERNVALE LRT STATION,1.392000520380106,103.87624390701184
42191.5673787612,34608.8085673121,0,,MRT,CHANGI DEPOT,1.3292609799784205,103.96083757874827
35681.6969826748,42992.2247683005,0,,MRT,PUNGGOL MRT STATION,1.4050798904591812,103.90234503590936
34652.5204608693,40503.0898683007,0,,MRT,BUANGKOK MRT STATION,1.38256931673503,103.89309646222058
36035.7910137295,41115.2382683009,0,,LRT,BAKAU LRT STATION,1.388105015526788,103.90552634663042
34239.2013313067,42116.6582183,0,,LRT,FARMWAY LRT STATION,1.397161934294511,103.88938282525599
24101.9118001315,31643.4042682994,0,,MRT,COMMONWEALTH MRT STATION,1.3024459779281898,103.79829247052521
33347.9568787592,42231.1543183001,0,,LRT,KUPANG LRT STATION,1.3981975740396426,103.8813742994741
36367.0616213391,43018.3519683004,0,,LRT,DAMAI LRT STATION,1.4053159840187215,103.90850361322433
24964.7142218789,30777.0810683005,0,,MRT,QUEENSTOWN MRT STATION,1.2946113531022594,103.80604522898594
32228.8795035946,32635.9072183491,0,,MRT,KALLANG MRT STATION,1.3114217798906975,103.87131713376765
36076.2992971822,41497.7695183007,0,,LRT,RUMBIA LRT STATION,1.3915644769525808,103.9058904501226
20581.1330441983,39971.3594174851,0,,LRT,PETIR LRT STATION,1.3777603548251287,103.76665463439714
29830.932765646,37025.4515674207,0,,MRT,BISHAN MRT STATION,1.3511194980475836,103.8497706711423
13827.2254618806,35638.5820183001,0,,MRT,BOON LAY MRT STATION,1.338573870145329,103.70596796427711
18617.2661422868,40068.302717854,0,,LRT,KEAT HONG LRT STATION,1.3786365116641308,103.74900783493541
20345.6414167548,40964.2500176788,0,,LRT,JELAPANG LRT STATION,1.3867396348314622,103.7645383125277
18121.3406123164,40751.7382688541,0,,LRT,CHOA CHU KANG LRT STATION,1.3848170876173056,103.74455135444
34923.0991498711,41528.4631686378,0,,LRT,SENGKANG LRT STATION,1.3918423569784755,103.89552805576781
26741.815863956,27566.0914687993,0,,MRT,HARBOURFRONT MRT STATION,1.2655724116976885,103.82201337977578
21093.4943271553,39787.7988188429,0,,LRT,PENDING LRT STATION,1.3761004245854458,103.77125861622869
29453.5960185779,30059.0693189399,0,,MRT,CLARKE QUAY MRT STATION,1.288118021277323,103.84637973294491
