X,Y,BUS_STOP_N,BUS_ROOF_N,LOC_DESC,Latitude,Longitude
38165.8914137296,34597.6995183006,84369,B03,BLK 45,1.329162126660466,103.92466471030436
32438.01511373,32754.8398183007,80051,B03,AFT LOR 1 GEYLANG,1.3124973346925022,103.87319633643234
39711.9276137296,40472.974518301,77251,B19,BLK 713,1.3822953752339844,103.93855897598411
23518.70591373,34206.9982182998,11349,B05,OPP GARLICK VILLE,1.3256301321236963,103.79305172782622
14946.09131373,35812.5805182997,21211,B09,OPP LAKEPOINT CONDO,1.3401479522265731,103.71602153452348
16004.1334137293,37162.6560183,28571,B02,BLK 416,1.352357973165675,103.72552811678628
22299.8665137291,32423.4722183011,19029,B06,OPP SP SMA,1.309500355838675,103.78210012869233
17454.5320137292,35192.1590183005,28439,B124,BLK 124,1.3345380699262317,103.73856154107413
25408.1915137293,49346.5487182997,47819,B11,OPP W'LANDS SUNNY FOOD,1.4625469993247873,103.81002843046707
19993.0885137292,43713.1744183004,45181,B30,OPP MANDAI CD TRG VILLAGE,1.4115998046930076,103.76136959913707
7577.36561372969,34938.2513183001,25119,B12,BEF TUAS AVE 10,1.3322367781398938,103.64980997548626
23097.8016137294,47362.6934182998,46451,B08,OPP BLK 872,1.4446054252582987,103.78926747809312
29513.56501373,37398.1320182998,53391,B01,OPP BLK 203,1.3544899050643022,103.84691893939751
41783.7191137299,39142.6305183005,78071,B02,BLK 446,1.3702633446282055,103.95717491889683
21544.3542137295,38650.4521182999,44369,NIL,AFT DAIRY FARM RD,1.3658147752363203,103.77531016547987
13580.3621137291,34534.4698182996,22281,B01,AFT SOON LEE RD,1.3285885794923604,103.70375027963067
39255.6574137295,37269.3709183,75169,B04,OPP BLK 853,1.3533233525656572,103.93445783980579
32623.60721373,34273.5204183012,70349,B01,BEF LOR BAKAR BATU,1.3262317144350118,103.8748642005587
27362.2981137298,40115.0082182996,56041,B25,OPP MEADOWS /@ PEIRCE,1.3790603951120202,103.82758835660901
27306.9464137293,35939.2408183012,40261,B03,LP 52,1.3412962419652072,103.82709107776866
35030.2370137293,31256.6943183001,91121,NIL,HSE 189,1.2989481602581092,103.89648838436726
18063.9535137294,39826.1514183003,44091,B06,BEF CHOA CHU KANG MKT,1.3764464021973737,103.74403600070643
39588.5222137291,32974.1246183012,94029,B10,AFT SENNET RD,1.314478604682938,103.93744720645319
42584.7358137295,40140.7480183002,78279,NIL,OPP LOYANG TOWNHOUSE,1.3792895533922576,103.96437309305708
35981.6057137297,31675.4161182996,92041,B01,OPP PARKWAY PARADE,1.3027347002924798,103.9050369577703
30732.2840137295,30625.3888183013,2151,B04,SUNTEC CONVENTION CTR,1.2932395301480648,103.85786931514292
20057.6141137294,37860.5875183009,43309,B01,HILLBROOKS,1.3586711650893726,103.76195100060076
31627.6169137293,32954.9471183009,60059,B01,BEF KALLANG PL,1.3143071403212951,103.86591453274741
7778.87821372971,35205.2588183004,25221,B41,RAFFLES COUNTRY CLUB,1.3346516221618234,103.65162049382552
35524.5969137298,38301.8618183006,64221,B09,OPP DEFU AVE 2,1.3626619992866167,103.90093216045118
22129.30951373,46827.995318301,46191,B02,OPP BLK 120,1.4397696250765537,103.7805647324879
35478.5528137293,34326.9761183001,71111,B03,BLK 343,1.326714581595042,103.9005174404993
35094.4245137293,34564.8399183005,71149,B05,BLK 3024,1.3288658281527193,103.89706589552374
43678.5690137297,39756.5000183005,98149,B06,WACKER CHEMICALS,1.3758139974965418,103.97420176073564
33575.8779137293,31947.9584183004,80279,B05,MOUNTBATTEN STN EXIT B,1.3052000016119352,103.88342044843726
13634.6352137299,39378.3690183014,31171,B30,OPP JLN BERSERI,1.3723949947362115,103.70423564081554
42217.1469137296,37133.3140182998,76449,B03,BLK 343,1.3520916421483018,103.96106860772021
20513.7443137299,40634.8548183013,44671,B03,BET BLKS 502/503,1.3837607484299603,103.76604892894909
44180.0707137296,40055.8094183002,98079,B14,OPP LOYANG WAY 4 / SOXAL,1.3785205638647782,103.97870826743436
43030.5495137293,38809.651018301,98039,B06,BEF NEW LOYANG LK,1.3672513961574837,103.96837837209446
28395.7367137298,37451.6790183,53189,B04,BLK 25,1.3549742007845138,103.83687452993803
12864.9441137295,36835.771618301,27431,B08,BLK 762,1.3494003296961121,103.69732072408172
18459.1738137295,40134.5032183006,44441,B04,BLK 239,1.379235153574712,103.74758723907453
31925.3104137294,40077.3614183012,66451,B06,AFT ANG MO KIO IND PK 2,1.3787196752117425,103.86859038293873
35187.9781137295,35389.9330183007,71071,B06,OPP COMFORT DRIVING CTR,1.3363276510410356,103.89790672017271
32354.8461137293,42405.6889183,68059,B12,AFT TPE,1.3997761685567167,103.87245042318933
14550.0802137293,36631.8746183012,21431,B01,BLK 210,1.347557166373726,103.71246278296964
12370.3988137292,36429.2948183008,27419,B04,BLK 827,1.345724055011247,103.69287714753007
34632.1086137295,39600.7220182996,64371,B01,OPP PUNGGOL CC,1.3744086338346078,103.89291284369995
19037.3409137297,31534.7015183009,29089,B07,SWANSON PLASTICS,1.3014618593632041,103.75278503325357
24887.9358137297,32483.8704183009,11221,B07,LIEN TWRS,1.3100469455354886,103.80535517176185
