X,Y,BUS_STOP_N,BUS_ROOF_N,LOC_DESC,latitude,longitude
20057.6141137294,37860.5875183009,43309,B01,HILLBROOKS,,
31627.6169137293,32954.9471183009,60059,B01,BEF KALLANG PL,,
7778.87821372971,35205.2588183004,25221,B41,RAFFLES COUNTRY CLUB,,
35524.5969137298,38301.8618183006,64221,B09,OPP DEFU AVE 2,,
22129.30951373,46827.995318301,46191,B02,OPP BLK 120,,
35478.5528137293,34326.9761183001,71111,B03,BLK 343,,
35094.4245137293,34564.8399183005,71149,B05,BLK 3024,,
43678.5690137297,39756.5000183005,98149,B06,WACKER CHEMICALS,,
33575.8779137293,31947.9584183004,80279,B05,MOUNTBATTEN STN EXIT B,,
13634.6352137299,39378.3690183014,31171,B30,OPP JLN BERSERI,,
42217.1469137296,37133.3140182998,76449,B03,BLK 343,,
20513.7443137299,40634.8548183013,44671,B03,BET BLKS 502/503,,
44180.0707137296,40055.8094183002,98079,B14,OPP LOYANG WAY 4 / SOXAL,,
43030.5495137293,38809.651018301,98039,B06,BEF NEW LOYANG LK,,
28395.7367137298,37451.6790183,53189,B04,BLK 25,,
12864.9441137295,36835.771618301,27431,B08,BLK 762,,
18459.1738137295,40134.5032183006,44441,B04,BLK 239,,
31925.3104137294,40077.3614183012,66451,B06,AFT ANG MO KIO IND PK 2,,
35187.9781137295,35389.9330183007,71071,B06,OPP COMFORT DRIVING CTR,,
32354.8461137293,42405.6889183,68059,B12,AFT TPE,,
14550.0802137293,36631.8746183012,21431,B01,BLK 210,,
12370.3988137292,36429.2948183008,27419,B04,BLK 827,,
34632.1086137295,39600.7220182996,64371,B01,OPP PUNGGOL CC,,
19037.3409137297,31534.7015183009,29089,B07,SWANSON PLASTICS,,
24887.9358137297,32483.8704183009,11221,B07,LIEN TWRS,,
28675.6054137293,30926.4778183009,13091,B08,AFT KIM YAM RD,,
38846.0067137294,38164.4763182998,75291,B05,AFT TAMPINES AVE 9,,
13291.1103137294,36961.7814183012,27449,B09,AFT WESTWOOD AVE,,
31085.8992137294,38467.4729183,66211,B03,OPP BLOXHOME DR,,
14979.9636137299,34900.4545183014,21531,B02,CLARIANT S'PORE,,
39673.3494137293,40159.9716183003,77221,B01,BLK 651,,
34157.8125137296,40188.6664183009,64449,B03,OPP HOUGANG G. SHOP MALL,,
30124.6004137294,38439.2912183013,54321,B03,BLK 354,,
32265.9993137298,39747.9230183009,66511,B02,YIO CHU KANG AMENITY CTR,,
